Gene	sgRNA	eff
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1295	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_696	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_709	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_744	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_628	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_476	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1285	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_324	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1381	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_536	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1200	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_594	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_384	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_870	1
safe_bd_17x31_16142_17615	safe_bd_17x31_16142_17615_1216	1
Phatr3_J44251	Phatr3_J44251_371	1
Phatr3_J44251	Phatr3_J44251_755	1
Phatr3_J44251	Phatr3_J44251_819	1
Phatr3_J44251	Phatr3_J44251_70	1
Phatr3_J44251	Phatr3_J44251_184	1
Phatr3_J44251	Phatr3_J44251_548	1
Phatr3_J44251	Phatr3_J44251_935	1
Phatr3_EG00445	Phatr3_EG00445_157	1
Phatr3_EG00445	Phatr3_EG00445_136	1
Phatr3_EG00445	Phatr3_EG00445_68	1
Phatr3_EG00445	Phatr3_EG00445_87	1
Phatr3_EG00445	Phatr3_EG00445_577	1
Phatr3_EG00445	Phatr3_EG00445_499	1
Phatr3_EG00445	Phatr3_EG00445_661	1
Phatr3_EG02462	Phatr3_EG02462_125	1
Phatr3_EG02462	Phatr3_EG02462_74	1
Phatr3_EG02462	Phatr3_EG02462_406	1
Phatr3_EG02462	Phatr3_EG02462_217	1
Phatr3_EG02462	Phatr3_EG02462_187	1
Phatr3_EG02462	Phatr3_EG02462_587	1
Phatr3_EG02462	Phatr3_EG02462_160	1
Phatr3_EG00939	Phatr3_EG00939_117	1
Phatr3_EG00939	Phatr3_EG00939_350	1
Phatr3_EG00939	Phatr3_EG00939_521	1
Phatr3_EG00939	Phatr3_EG00939_419	1
Phatr3_EG00939	Phatr3_EG00939_106	1
Phatr3_EG00939	Phatr3_EG00939_169	1
Phatr3_EG00939	Phatr3_EG00939_270	1
Phatr3_J46051	Phatr3_J46051_367	1
Phatr3_J46051	Phatr3_J46051_552	1
Phatr3_J46051	Phatr3_J46051_67	1
Phatr3_J46051	Phatr3_J46051_526	1
Phatr3_J46051	Phatr3_J46051_194	1
Phatr3_J46051	Phatr3_J46051_410	1
Phatr3_J46051	Phatr3_J46051_415	1
Phatr3_J40315	Phatr3_J40315_466	1
Phatr3_J40315	Phatr3_J40315_69	1
Phatr3_J40315	Phatr3_J40315_298	1
Phatr3_J40315	Phatr3_J40315_275	1
Phatr3_J40315	Phatr3_J40315_93	1
Phatr3_J40315	Phatr3_J40315_158	1
Phatr3_J40315	Phatr3_J40315_486	1
Phatr3_J3559	Phatr3_J3559_623	1
Phatr3_J3559	Phatr3_J3559_200	1
Phatr3_J3559	Phatr3_J3559_92	1
Phatr3_J3559	Phatr3_J3559_267	1
Phatr3_J3559	Phatr3_J3559_895	1
Phatr3_J3559	Phatr3_J3559_146	1
Phatr3_J3559	Phatr3_J3559_675	1
Phatr3_J35951	Phatr3_J35951_1019	1
Phatr3_J35951	Phatr3_J35951_229	1
Phatr3_J35951	Phatr3_J35951_510	1
Phatr3_J35951	Phatr3_J35951_287	1
Phatr3_J35951	Phatr3_J35951_60	1
Phatr3_J35951	Phatr3_J35951_557	1
Phatr3_J35951	Phatr3_J35951_763	1
Phatr3_J6940	Phatr3_J6940_949	1
Phatr3_J6940	Phatr3_J6940_826	1
Phatr3_J6940	Phatr3_J6940_242	1
Phatr3_J6940	Phatr3_J6940_981	1
Phatr3_J6940	Phatr3_J6940_110	1
Phatr3_J6940	Phatr3_J6940_451	1
Phatr3_J6940	Phatr3_J6940_219	1
Phatr3_EG01796	Phatr3_EG01796_600	1
Phatr3_EG01796	Phatr3_EG01796_550	1
Phatr3_EG01796	Phatr3_EG01796_440	1
Phatr3_EG01796	Phatr3_EG01796_625	1
Phatr3_EG01796	Phatr3_EG01796_184	1
Phatr3_EG01796	Phatr3_EG01796_83	1
Phatr3_EG01796	Phatr3_EG01796_104	1
Phatr3_J12612	Phatr3_J12612_361	1
Phatr3_J12612	Phatr3_J12612_477	1
Phatr3_J12612	Phatr3_J12612_443	1
Phatr3_J12612	Phatr3_J12612_161	1
Phatr3_J12612	Phatr3_J12612_404	1
Phatr3_J12612	Phatr3_J12612_526	1
Phatr3_J12612	Phatr3_J12612_597	1
Phatr3_J28984	Phatr3_J28984_49	1
Phatr3_J28984	Phatr3_J28984_715	1
Phatr3_J28984	Phatr3_J28984_112	1
Phatr3_J28984	Phatr3_J28984_379	1
Phatr3_J28984	Phatr3_J28984_293	1
Phatr3_J28984	Phatr3_J28984_482	1
Phatr3_J28984	Phatr3_J28984_319	1
Phatr3_EG01553	Phatr3_EG01553_242	1
Phatr3_EG01553	Phatr3_EG01553_253	1
Phatr3_EG01553	Phatr3_EG01553_155	1
Phatr3_EG01553	Phatr3_EG01553_77	1
Phatr3_EG01553	Phatr3_EG01553_168	1
Phatr3_EG01553	Phatr3_EG01553_159	1
Phatr3_EG01553	Phatr3_EG01553_241	1
Phatr3_J6934	Phatr3_J6934_376	1
Phatr3_J6934	Phatr3_J6934_279	1
Phatr3_J6934	Phatr3_J6934_519	1
Phatr3_J6934	Phatr3_J6934_249	1
Phatr3_J6934	Phatr3_J6934_316	1
Phatr3_J6934	Phatr3_J6934_1199	1
Phatr3_J6934	Phatr3_J6934_471	1
safe_1_1777108_1777332	safe_1_1777108_1777332_138	1
safe_1_1777108_1777332	safe_1_1777108_1777332_135	1
safe_1_1777108_1777332	safe_1_1777108_1777332_33	1
safe_1_1777108_1777332	safe_1_1777108_1777332_68	1
safe_1_1777108_1777332	safe_1_1777108_1777332_178	1
Phatr3_EG00251	Phatr3_EG00251_114	1
Phatr3_EG00251	Phatr3_EG00251_61	1
Phatr3_EG00251	Phatr3_EG00251_248	1
Phatr3_EG00251	Phatr3_EG00251_201	1
Phatr3_EG00251	Phatr3_EG00251_120	1
Phatr3_EG00251	Phatr3_EG00251_141	1
Phatr3_EG00251	Phatr3_EG00251_189	1
Phatr3_J46419	Phatr3_J46419_216	1
Phatr3_J46419	Phatr3_J46419_438	1
Phatr3_J46419	Phatr3_J46419_390	1
Phatr3_J46419	Phatr3_J46419_860	1
Phatr3_J46419	Phatr3_J46419_1353	1
Phatr3_J46419	Phatr3_J46419_352	1
Phatr3_J46419	Phatr3_J46419_1071	1
Phatr3_J43016	Phatr3_J43016_1192	1
Phatr3_J43016	Phatr3_J43016_1701	1
Phatr3_J43016	Phatr3_J43016_3056	1
Phatr3_J43016	Phatr3_J43016_565	1
Phatr3_J43016	Phatr3_J43016_2716	1
Phatr3_J43016	Phatr3_J43016_2479	1
Phatr3_J43016	Phatr3_J43016_1344	1
Phatr3_J43016	Phatr3_J43016_2280	1
Phatr3_J43016	Phatr3_J43016_3400	1
Phatr3_J43016	Phatr3_J43016_282	1
Phatr3_J43016	Phatr3_J43016_388	1
