Gene_ID,Comparison,Delta_Beta,FDR,Significance_Tier
Phatr3_J39797,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9148566666666669,5.8447841863765655e-05,Tier 1 (Hard)
Phatr3_J9241,t1_Fe_deplete_vs_t1_Mn_deplete,-1.91316,5.919857835349256e-05,Tier 1 (Hard)
Phatr3_J48233,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9128033333333327,5.919857835349256e-05,Tier 1 (Hard)
Phatr3_EG00225,t1_Fe_deplete_vs_t1_Mn_deplete,-1.910953,6.0238420001890005e-05,Tier 1 (Hard)
Phatr3_J49557,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9056323333333332,6.419022859488953e-05,Tier 1 (Hard)
Phatr3_J49632,t1_Fe_deplete_vs_t1_Mn_deplete,-1.9028566666666664,6.612507060448012e-05,Tier 1 (Hard)
Phatr3_J47406,t1_Fe_deplete_vs_t1_Mn_deplete,-1.899446,6.860888741971533e-05,Tier 1 (Hard)
Phatr3_EG00560,t1_Fe_deplete_vs_t1_Mn_deplete,-1.899008333333333,6.860888741971533e-05,Tier 1 (Hard)
Phatr3_J48483,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8893633333333333,7.738157805926694e-05,Tier 1 (Hard)
Phatr3_J50123,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8879024,7.833991236747551e-05,Tier 1 (Hard)
Phatr3_J12004,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8871266666666664,7.860135715873111e-05,Tier 1 (Hard)
Phatr3_J46897,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8861746666666668,7.905003953155454e-05,Tier 1 (Hard)
Phatr3_J39329,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8810310000000003,8.400153066984612e-05,Tier 1 (Hard)
Phatr3_J17936,t1_Fe_deplete_vs_t1_Mn_deplete,-1.87969,8.491743583603595e-05,Tier 1 (Hard)
Phatr3_J48150,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8737136666666667,9.114879221059078e-05,Tier 1 (Hard)
